time,static_pressure,total_pressure
399.87,84904.1,84911.29159481177
400.05,84910.79999999999,84916.74390459535
400.231,84917.6,84924.79273829637
400.411,84924.3,84930.24484961899
400.596,84931.1,84938.29388178096
400.777,84937.8,84944.99444928812
400.961,84944.6,84951.79502526554
401.144,84951.4,84957.34674666642
401.325,84958.2,84965.39617722038
401.506,84964.9,84970.84769169004
401.687,84971.7,84978.89732070497
401.868,84978.4,84984.34863671366
402.049,84985.2,84992.39846418957
402.23,84991.9,84997.84958173729
402.411,84998.7,85005.89960767415
402.591,85005.5,85012.70018365158
402.771,85012.2,85019.40075115874
402.952,85019.0,85026.20132713616
403.132,85025.7,85032.90189464334
403.313,85032.5,85039.70247062076
403.494,85039.20000000001,85045.15289282009
403.675,85046.0,85053.20361410535
403.856,85052.70000000001,85059.90418161252
404.038,85059.5,85065.45431385559
404.22,85066.3,85073.50533356736
404.4,85073.0,85080.20590107453
404.58,85079.8,85087.00647705195
404.761,85086.5,85093.70704455912
404.941,85093.3,85100.50762053655
405.122,85100.0,85107.2081880437
405.303,85106.8,85114.00876402113
405.484,85113.5,85119.45809395009
405.667,85120.3,85127.50990750572
405.847,85127.0,85134.2104750129
406.027,85133.8,85141.01105099032
406.208,85140.5,85146.45998399734
406.389,85147.29999999999,85154.51219447488
406.569,85154.0,85161.21276198207
406.75,85160.7,85166.6613980327
406.934,85167.5,85174.71390546666
407.114,85174.2,85181.41447297382
407.296,85180.9,85186.86281206804
407.481,85187.7,85194.91561645841
407.663,85194.4,85200.36375709166
407.847,85201.2,85208.416759943
408.027,85208.0,85215.21733592043
408.207,85214.70000000001,85221.9179034276
408.387,85221.40000000001,85228.61847093477
408.57,85228.2,85235.41904691218
408.752,85234.90000000001,85240.86659216255
408.933,85241.7,85248.92019039676
409.113,85248.40000000001,85255.62075790395
409.295,85255.1,85261.06800619791
409.477,85261.90000000001,85267.8684822098
409.657,85268.7,85275.92247736595
409.837,85275.40000000001,85282.62304487312
410.017,85282.1,85288.06989624516
410.201,85288.9,85296.1241883577
410.381,85295.6,85302.82475586487
410.561,85302.20000000001,85308.17130328034
410.747,85309.1,85315.0717862924
410.927,85315.8,85323.02646685664
411.107,85322.6,85329.82704283406
411.288,85329.3,85336.52761034122
411.468,85336.0,85343.22817784839
411.648,85342.8,85350.02875382581
411.828,85349.40000000001,85355.37460736293
412.011,85356.2,85363.42988884014
412.191,85363.0,85370.23046481756
412.371,85369.7,85376.93103232473
412.551,85376.4,85382.37649741017
412.732,85383.2,85390.43217580931
412.912,85389.9,85395.87744243379
413.092,85396.6,85403.83331082367
413.592,85415.4,85422.63490323182
413.772,85422.0,85429.23546226874
413.954,85428.7,85434.6801585017
414.139,85435.5,85442.73660575332
414.319,85442.3,85449.53718173075
414.499,85449.0,85456.23774923792
414.679,85455.7,85462.93831674509
414.862,85462.40000000001,85468.38251756069
415.045,85469.2,85476.43946022967
415.225,85475.9,85483.14002773684
415.405,85482.6,85489.84059524401
415.586,85489.3,85495.28440060775
415.768,85496.1,85503.3417387286
415.948,85502.8,85510.04230623577
416.129,85509.5,85515.4858146431
416.314,85516.2,85522.18628365482
416.494,85523.0,85530.24401722752
416.674,85529.7,85536.94458473468
416.854,85536.40000000001,85542.38769769018
417.036,85543.2,85550.44572821927
417.216,85549.90000000001,85557.14629572644
417.396,85556.5,85562.48910472535
417.579,85563.3,85569.28958073726
417.759,85570.0,85577.24799824794
417.938,85576.8,85584.04857422537
418.118,85583.5,85590.74914173254
418.298,85590.20000000001,85596.19146378434
418.478,85596.90000000001,85604.15027674688
418.658,85603.59999999999,85610.85084425402
418.839,85610.29999999999,85617.55141176119
419.02,85617.0,85624.25197926837
419.202,85623.8,85629.79381584314
419.383,85630.5,85637.75312275295
419.563,85637.2,85644.45369026012
419.743,85643.9,85649.8952228783
419.924,85650.7,85657.9548337447
420.103,85657.4,85663.39616790193
420.284,85664.09999999999,85671.35596875903
420.463,85670.8,85678.05653626622
420.644,85677.5,85683.49757493711
420.825,85684.2,85691.45767128054
421.005,85690.9,85698.15823878771
421.184,85697.6,85703.59898197229
421.369,85704.4,85710.39945798417
421.548,85711.1,85717.09992699591
421.728,85717.8,85725.06051728663
421.907,85724.5,85730.50086501935
422.089,85731.2,85738.46165230096
422.269,85737.90000000001,85743.90180304281
422.451,85744.6,85750.60227205453
422.631,85751.3,85758.56335482247
422.81,85758.0,85765.26392232964
422.99,85764.8,85772.06449830707
423.17,85771.40000000001,85778.66505734398
423.353,85778.09999999999,85784.10461711315
423.538,85784.90000000001,85790.90509312507
423.718,85791.6,85798.86676833573
423.897,85798.29999999999,85805.56733584289
424.078,85805.0,85812.26790335006
424.258,85811.7,85817.70696917195
424.44,85818.4,85825.66903836439
424.619,85825.09999999999,85831.1079071954
424.802,85831.8,85839.07017337873
424.983,85838.5,85845.7707408859
425.166,85845.2,85851.20931423058
425.348,85851.9,85859.17187590023
425.527,85858.6,85865.8724434074
425.707,85865.3,85871.31072126576
425.889,85872.0,85879.27357842174
426.069,85878.7,85884.7116592892
426.251,85885.40000000001,85892.67471343608
426.432,85892.1,85898.11259731266
426.614,85898.8,85906.0758484504
426.793,85905.5,85911.51353533611
426.974,85912.2,85919.47698346473
427.153,85918.9,85924.91447335955
427.333,85925.59999999999,85931.61494237128
427.513,85932.3,85938.31541138301
427.693,85939.0,85946.2792534934
427.872,85945.7,85951.71634940646
428.052,85952.4,85958.41681841818
428.232,85959.1,85965.11728742991
428.412,85965.8,85973.08152352207
428.592,85972.5,85978.51822545336
428.771,85979.2,85985.21869446507
428.951,85985.90000000001,85993.18322604358
429.13,85992.6,85999.88379355073
429.31,85999.2,86005.22009450008
429.495,86006.0,86013.28492856506
429.674,86012.7,86019.98549607223
429.854,86019.3,86025.32150153526
430.035,86026.09999999999,86032.12197754715
430.215,86032.8,86040.08719859374
430.394,86039.4,86046.68775763064
430.576,86046.1,86052.12337758216
430.758,86052.8,86058.82384659389
430.937,86059.5,86066.78946015214
431.117,86066.2,86072.22478461733
431.297,86072.90000000001,86080.19059516648
431.477,86079.6,86086.89116267365
431.658,86086.2,86092.22618465233
431.843,86093.0,86100.29229768798
432.022,86099.59999999999,86108.2791521227
432.197,86105.9,86111.92756368681
432.388,86112.8,86118.8280466989
432.888,86131.4,86138.69555026636
433.068,86138.09999999999,86144.12981774316
433.25,86144.8,86150.83028675489
433.43,86151.5,86157.53075576661
433.609,86158.2,86165.49782029503
433.788,86164.8,86170.83168678988
433.968,86171.5,86177.53215580161
434.147,86178.2,86184.23262481333
434.326,86184.90000000001,86192.20008185346
434.505,86191.4,86197.43354883643
434.693,86198.2,86205.50120839752
434.872,86204.9,86210.93449386006
435.053,86211.6,86218.90234341186
435.232,86218.3,86225.60291091903
435.412,86224.90000000001,86230.93589389508
435.593,86231.6,86237.6363629068
435.773,86238.3,86244.33683191851
435.952,86245.0,86252.30517247743
436.131,86251.70000000001,86257.73776994197
436.311,86258.4,86265.70630749175
436.491,86265.0,86272.30686652867
436.671,86271.7,86279.00743403584
436.852,86278.4,86284.43963898868
437.032,86285.1,86292.40856905018
437.212,86291.7,86297.74057001196
437.392,86298.40000000001,86305.70969559427
437.572,86305.1,86312.41026310142
437.752,86311.7,86317.74197004696
437.934,86318.4,86324.44243905868
438.113,86325.09999999999,86331.14290807041
438.293,86331.8,86337.84337708214
438.472,86338.4,86344.44383909368
438.651,86345.1,86351.14430810542
438.831,86351.8,86359.11421871108
439.01,86358.4,86364.44523912869
439.19,86365.09999999999,86371.14570814041
439.37,86371.8,86379.11591276233
439.549,86378.4,86385.71647179923
439.73,86385.1,86391.14710817543
439.911,86391.8,86399.11760681357
440.09,86398.40000000001,86404.4480391987
440.271,86405.1,86411.14850821042
440.451,86411.8,86417.84897722215
440.63,86418.5,86425.81986837198
440.809,86425.09999999999,86431.14990824541
440.992,86431.8,86437.85037725714
441.171,86438.5,86444.55084626886
441.35,86445.2,86451.25131528059
441.529,86451.8,86457.85177729215
441.708,86458.5,86465.82325647447
441.887,86465.09999999999,86472.42381551137
442.067,86471.7,86477.75317032696
442.252,86478.5,86484.55364633887
442.432,86485.1,86491.15410835043
442.611,86491.8,86497.85457736214
