time,static_pressure,total_pressure,position_z
414.862,85462.40000000001,85468.38251756069,1414.79
415.045,85469.2,85476.43946022967,1414.152
415.225,85475.9,85483.14002773684,1413.519
415.405,85482.6,85489.84059524401,1412.889
415.586,85489.3,85495.28440060775,1412.258
415.768,85496.1,85503.3417387286,1411.622
415.948,85502.8,85510.04230623577,1410.992
416.129,85509.5,85515.4858146431,1410.365
416.314,85516.2,85522.18628365482,1409.727
416.494,85523.0,85530.24401722752,1409.093
416.674,85529.7,85536.94458473468,1408.462
416.854,85536.40000000001,85542.38769769018,1407.832
417.036,85543.2,85550.44572821927,1407.197
417.216,85549.90000000001,85557.14629572644,1406.565
417.396,85556.5,85562.48910472535,1405.939
417.579,85563.3,85569.28958073726,1405.301
417.759,85570.0,85577.24799824794,1404.669
417.938,85576.8,85584.04857422537,1404.037
418.118,85583.5,85590.74914173254,1403.406
418.298,85590.20000000001,85596.19146378434,1402.776
418.478,85596.90000000001,85604.15027674688,1402.142
418.658,85603.59999999999,85610.85084425402,1401.514
418.839,85610.29999999999,85617.55141176119,1400.881
419.02,85617.0,85624.25197926837,1400.252
419.202,85623.8,85629.79381584314,1399.619
419.383,85630.5,85637.75312275295,1398.985
419.563,85637.2,85644.45369026012,1398.354
419.743,85643.9,85649.8952228783,1397.724
419.924,85650.7,85657.9548337447,1397.091
420.103,85657.4,85663.39616790193,1396.46
420.284,85664.09999999999,85671.35596875903,1395.828
420.463,85670.8,85678.05653626622,1395.199
420.644,85677.5,85683.49757493711,1394.567
420.825,85684.2,85691.45767128054,1393.935
421.005,85690.9,85698.15823878771,1393.304
421.184,85697.6,85703.59898197229,1392.68
421.369,85704.4,85710.39945798417,1392.041
421.548,85711.1,85717.09992699591,1391.41
421.728,85717.8,85725.06051728663,1390.779
421.907,85724.5,85730.50086501935,1390.152
422.089,85731.2,85738.46165230096,1389.519
422.269,85737.90000000001,85743.90180304281,1388.891
422.451,85744.6,85750.60227205453,1388.256
422.631,85751.3,85758.56335482247,1387.625
422.81,85758.0,85765.26392232964,1386.996
422.99,85764.8,85772.06449830707,1386.365
423.17,85771.40000000001,85778.66505734398,1385.738
423.353,85778.09999999999,85784.10461711315,1385.113
423.538,85784.90000000001,85790.90509312507,1384.472
423.718,85791.6,85798.86676833573,1383.841
423.897,85798.29999999999,85805.56733584289,1383.213
424.078,85805.0,85812.26790335006,1382.582
424.258,85811.7,85817.70696917195,1381.954
424.44,85818.4,85825.66903836439,1381.32
424.619,85825.09999999999,85831.1079071954,1380.695
424.802,85831.8,85839.07017337873,1380.062
424.983,85838.5,85845.7707408859,1379.434
425.166,85845.2,85851.20931423058,1378.803
425.348,85851.9,85859.17187590023,1378.169
425.527,85858.6,85865.8724434074,1377.539
425.707,85865.3,85871.31072126576,1376.913
425.889,85872.0,85879.27357842174,1376.278
426.069,85878.7,85884.7116592892,1375.653
426.251,85885.40000000001,85892.67471343608,1375.02
426.432,85892.1,85898.11259731266,1374.393
426.614,85898.8,85906.0758484504,1373.759
426.793,85905.5,85911.51353533611,1373.131
426.974,85912.2,85919.47698346473,1372.499
427.153,85918.9,85924.91447335955,1371.871
427.333,85925.59999999999,85931.61494237128,1371.24
427.513,85932.3,85938.31541138301,1370.61
427.693,85939.0,85946.2792534934,1369.981
427.872,85945.7,85951.71634940646,1369.352
428.052,85952.4,85958.41681841818,1368.722
428.232,85959.1,85965.11728742991,1368.092
428.412,85965.8,85973.08152352207,1367.463
428.592,85972.5,85978.51822545336,1366.833
428.771,85979.2,85985.21869446507,1366.203
428.951,85985.90000000001,85993.18322604358,1365.574
429.13,85992.6,85999.88379355073,1364.945
429.31,85999.2,86005.22009450008,1364.325
429.495,86006.0,86013.28492856506,1363.687
429.674,86012.7,86019.98549607223,1363.058
429.854,86019.3,86025.32150153526,1362.431
430.035,86026.09999999999,86032.12197754715,1361.799
430.215,86032.8,86040.08719859374,1361.17
430.394,86039.4,86046.68775763064,1360.546
430.576,86046.1,86052.12337758216,1359.916
430.758,86052.8,86058.82384659389,1359.283
430.937,86059.5,86066.78946015214,1358.654
431.117,86066.2,86072.22478461733,1358.028
431.297,86072.90000000001,86080.19059516648,1357.396
431.477,86079.6,86086.89116267365,1356.77
431.658,86086.2,86092.22618465233,1356.148
431.843,86093.0,86100.29229768798,1355.509
432.022,86099.59999999999,86108.2791521227,1354.887
432.197,86105.9,86111.92756368681,1354.297
432.388,86112.8,86118.8280466989,1353.647
432.888,86131.4,86138.69555026636,1351.895
433.068,86138.09999999999,86144.12981774316,1351.271
433.25,86144.8,86150.83028675489,1350.64
433.43,86151.5,86157.53075576661,1350.01
433.609,86158.2,86165.49782029503,1349.381
433.788,86164.8,86170.83168678988,1348.754
433.968,86171.5,86177.53215580161,1348.125
434.147,86178.2,86184.23262481333,1347.497
434.326,86184.90000000001,86192.20008185346,1346.869
434.505,86191.4,86197.43354883643,1346.254
434.693,86198.2,86205.50120839752,1345.613
434.872,86204.9,86210.93449386006,1344.986
435.053,86211.6,86218.90234341186,1344.356
435.232,86218.3,86225.60291091903,1343.729
435.412,86224.90000000001,86230.93589389508,1343.103
435.593,86231.6,86237.6363629068,1342.472
435.773,86238.3,86244.33683191851,1341.844
435.952,86245.0,86252.30517247743,1341.217
436.131,86251.70000000001,86257.73776994197,1340.591
436.311,86258.4,86265.70630749175,1339.961
436.491,86265.0,86272.30686652867,1339.335
436.671,86271.7,86279.00743403584,1338.708
436.852,86278.4,86284.43963898868,1338.081
437.032,86285.1,86292.40856905018,1337.45
437.212,86291.7,86297.74057001196,1336.825
437.392,86298.40000000001,86305.70969559427,1336.196
437.572,86305.1,86312.41026310142,1335.57
437.752,86311.7,86317.74197004696,1334.947
437.934,86318.4,86324.44243905868,1334.313
438.113,86325.09999999999,86331.14290807041,1333.686
438.293,86331.8,86337.84337708214,1333.059
438.472,86338.4,86344.44383909368,1332.432
438.651,86345.1,86351.14430810542,1331.805
438.831,86351.8,86359.11421871108,1331.177
439.01,86358.4,86364.44523912869,1330.552
439.19,86365.09999999999,86371.14570814041,1329.923
439.37,86371.8,86379.11591276233,1329.295
439.549,86378.4,86385.71647179923,1328.673
439.73,86385.1,86391.14710817543,1328.044
439.911,86391.8,86399.11760681357,1327.414
440.09,86398.40000000001,86404.4480391987,1326.792
440.271,86405.1,86411.14850821042,1326.162
440.451,86411.8,86417.84897722215,1325.534
440.63,86418.5,86425.81986837198,1324.907
440.809,86425.09999999999,86431.14990824541,1324.287
440.992,86431.8,86437.85037725714,1323.653
441.171,86438.5,86444.55084626886,1323.027
441.35,86445.2,86451.25131528059,1322.4
441.529,86451.8,86457.85177729215,1321.774
441.708,86458.5,86465.82325647447,1321.147
441.887,86465.09999999999,86472.42381551137,1320.522
442.067,86471.7,86477.75317032696,1319.904
442.252,86478.5,86484.55364633887,1319.269
442.432,86485.1,86491.15410835043,1318.642
442.611,86491.8,86497.85457736214,1318.015
442.79,86498.5,86504.55504637386,1317.388
442.969,86505.1,86511.15550838542,1316.762
443.148,86511.8,86517.85597739715,1316.136
443.327,86518.4,86524.45643940869,1315.51
443.506,86525.09999999999,86532.4288976651,1314.884
443.685,86531.7,86537.75737043197,1314.263
443.867,86538.4,86544.45783944368,1313.631
444.046,86545.1,86551.15830845543,1313.005
444.225,86551.70000000001,86557.75877046699,1312.379
444.404,86558.4,86565.73171826042,1311.753
444.583,86565.0,86571.05970149025,1311.129
444.763,86571.7,86577.76017050196,1310.502
444.942,86578.4,86584.4606395137,1309.876
445.12,86585.0,86591.06110152525,1309.25
445.299,86591.7,86599.03453885575,1308.624
445.478,86598.29999999999,86604.36203254851,1308.003
445.66,86605.0,86611.06250156024,1307.375
445.84,86611.7,86619.03623290699,1306.747
446.019,86618.3,86625.6367919439,1306.123
446.198,86624.90000000001,86630.96389459507,1305.498
446.378,86631.6,86637.6643636068,1304.871
446.557,86638.3,86645.63848599515,1304.245
446.736,86644.8,86650.8652876299,1303.629
446.92,86651.59999999999,86657.66576364178,1302.995
447.1,86658.2,86665.54017157613,1302.369
447.279,86664.9,86670.96669466507,1301.746
447.459,86671.5,86677.56715667663,1301.118
447.638,86678.2,86684.26762568834,1300.492
447.817,86684.79999999999,86690.86808769988,1299.868
447.996,86691.5,86697.56855671162,1299.242
448.175,86698.1,86704.16901872317,1298.617
448.354,86704.8,86712.14411871554,1297.992
448.533,86711.40000000001,86718.74467775246,1297.375
448.716,86718.0,86724.070411758,1296.747
448.898,86724.7,86730.77088076972,1296.117
449.077,86731.4,86738.74637180369,1295.492
449.256,86738.0,86745.3469308406,1294.87
449.436,86744.6,86751.94748987752,1294.245
449.617,86751.3,86757.37274281628,1293.621
449.798,86758.0,86764.073211828,1292.992
449.976,86764.59999999999,86770.67367383954,1292.368
450.155,86771.3,86778.64975143592,1291.743
450.334,86777.8,86783.87459786265,1291.124
450.516,86784.6,86790.67507387455,1290.493
450.695,86791.2,86797.27553588609,1289.869
450.874,86797.79999999999,86805.15199605381,1289.244
451.053,86804.5,86811.85256356098,1288.621
451.232,86811.1,86818.4531225979,1287.999
451.413,86817.7,86823.77739093248,1287.374
451.593,86824.40000000001,86831.75424914199,1286.746
451.772,86831.0,86837.07832195575,1286.131
451.956,86837.7,86843.77879096747,1285.5
452.136,86844.3,86851.65593472296,1284.874
452.315,86850.9,86856.97971499056,1284.253
452.496,86857.6,86863.68018400231,1283.625
452.675,86864.20000000001,86870.28064601387,1283.001
452.854,86870.9,86876.98111502557,1282.378
453.033,86877.5,86883.58157703713,1281.754
453.213,86884.2,86890.28204604884,1281.128
453.391,86890.8,86898.15987339211,1280.504
453.57,86897.40000000001,86904.76043242903,1279.885
453.751,86904.0,86910.0834320835,1279.262
453.934,86910.7,86916.78390109522,1278.632
454.112,86917.4,86923.48437010695,1278.008
454.291,86924.0,86931.36268551718,1277.385
454.469,86930.6,86936.68529413006,1276.765
454.65,86937.3,86946.0635953226,1276.137
454.816,86943.2,86949.28617615209,1275.575
455.006,86950.0,86956.086652164,1274.936
455.188,86956.7,86962.78712117572,1274.307
455.366,86963.4,86969.48759018745,1273.684
455.545,86970.0,86977.36658183503,1273.061
455.724,86976.59999999999,86982.68851421055,1272.438
455.903,86983.2,86990.56769990885,1271.814
456.082,86989.9,86995.98944523382,1271.192
456.262,86996.5,87002.58990724538,1270.567
456.441,87003.09999999999,87009.19036925692,1269.944
456.62,87009.79999999999,87015.89083826863,1269.32
456.798,87016.4,87023.77051203391,1268.696
456.976,87023.0,87030.37107107083,1268.075
457.156,87029.6,87035.6922243033,1267.453
457.336,87036.3,87042.39269331504,1266.827
457.515,87042.9,87048.99315532658,1266.204
457.693,87049.5,87055.59361733813,1265.581
457.872,87056.2,87063.57388319589,1264.958
458.05,87062.7,87068.79454136122,1264.343
458.234,87069.4,87075.49501037295,1263.712
458.412,87076.09999999999,87083.47556877688,1263.088
458.591,87082.7,87088.79594139622,1262.467
458.77,87089.3,87096.67668685071,1261.844
458.949,87095.9,87101.99686541932,1261.227
459.132,87102.5,87108.59732743088,1260.602
459.313,87109.2,87115.2977964426,1259.977
459.493,87115.8,87121.89825845415,1259.352
459.671,87122.40000000001,87128.49872046571,1258.729
459.85,87129.0,87136.38004954242,1258.107
460.028,87135.6,87141.6996444888,1257.489
460.21,87142.3,87149.68117608651,1256.861
460.388,87148.90000000001,87156.28173512341,1256.24
460.568,87155.5,87162.88229416031,1255.618
460.747,87162.09999999999,87168.20149953516,1254.999
460.929,87168.8,87176.1834207044,1254.372
461.108,87175.40000000001,87182.78397974132,1253.752
461.288,87181.9,87188.00288556982,1253.135
461.471,87188.7,87194.80336158173,1252.504
461.649,87195.3,87201.40382359328,1251.882
461.828,87201.9,87208.00428560482,1251.26
462.006,87208.5,87214.60474761638,1250.638
462.185,87215.09999999999,87221.20520962792,1250.015
462.363,87221.7,87227.80567163948,1249.394
462.542,87228.4,87234.5061406512,1248.771
462.72,87235.0,87241.10660266275,1248.149
462.899,87241.6,87247.70706467431,1247.527
463.077,87248.2,87254.30752668585,1246.905
463.256,87254.8,87262.19070512475,1246.283
463.434,87261.40000000001,87267.50845070896,1245.667
463.616,87268.0,87275.39182319857,1245.04
463.794,87274.59999999999,87280.70937473205,1244.42
463.974,87281.3,87287.40984374378,1243.796
464.152,87287.90000000001,87294.01030575534,1243.176
464.331,87294.5,87300.61076776688,1242.552
464.51,87301.09999999999,87308.49462685337,1241.932
464.688,87307.6,87313.71168478981,1241.32
464.873,87314.3,87320.41215380153,1240.687
465.051,87321.0,87327.11262281326,1240.066
465.23,87327.59999999999,87334.99687147127,1239.446
465.409,87334.1,87341.49742203794,1238.827
465.589,87340.7,87346.81400184773,1238.21
465.773,87347.40000000001,87354.79854858201,1237.584
465.953,87353.9,87360.01492587083,1236.965
466.135,87360.6,87366.71539488256,1236.337
466.313,87367.2,87373.3158568941,1235.717
466.492,87373.8,87381.20078472965,1235.095
466.671,87380.3,87386.41677391704,1234.484
466.855,87387.0,87393.11724292875,1233.854
467.034,87393.7,87399.81771194049,1233.231
467.212,87400.3,87406.41817395204,1232.61
467.39,87406.9,87414.30358838446,1231.989
467.568,87413.5,87419.61909797513,1231.37
467.748,87420.1,87426.21955998668,1230.747
467.926,87426.70000000001,87432.82002199824,1230.126
468.104,87433.3,87439.42048400978,1229.505
468.282,87439.9,87446.02094602132,1228.885
468.461,87446.5,87452.62140803288,1228.265
468.64,87453.09999999999,87460.50750164283,1227.643
468.818,87459.7,87467.10806067975,1227.026
468.998,87466.3,87472.42279406753,1226.406
469.179,87472.90000000001,87479.02325607909,1225.783
469.358,87479.5,87485.62371809063,1225.16
469.536,87486.1,87492.22418010219,1224.54
469.714,87492.7,87498.82464211373,1223.919
469.892,87499.3,87506.7114149012,1223.299
470.071,87505.9,87512.02556613683,1222.681
470.25,87512.5,87519.91253297502,1222.059
470.429,87519.1,87525.22649015994,1221.44
470.609,87525.7,87531.82695217148,1220.817
470.787,87532.3,87538.42741418304,1220.198
470.966,87538.9,87545.02787619458,1219.577
471.144,87545.5,87552.91532815958,1218.956
471.322,87552.09999999999,87559.51588719648,1218.338
471.501,87558.7,87564.82926222924,1217.719
471.681,87565.3,87571.42972424079,1217.096
471.86,87571.90000000001,87578.03018625235,1216.476
472.038,87578.5,87584.63064826389,1215.855
472.216,87585.1,87591.23111027545,1215.236
472.394,87591.7,87597.83157228699,1214.616
472.573,87598.29999999999,87605.71980045486,1213.997
472.751,87604.8,87610.93248930991,1213.378
472.931,87611.5,87617.63295832164,1212.756
473.109,87618.0,87624.13341333301,1212.136
473.287,87624.59999999999,87630.73387534455,1211.516
473.465,87631.2,87637.33433735611,1210.897
473.643,87637.8,87643.93479936766,1210.277
473.821,87644.4,87650.5352613792,1209.657
473.999,87651.0,87657.13572339076,1209.038
474.178,87657.6,87663.73618540232,1208.418
474.356,87664.20000000001,87671.62538235373,1207.798
474.534,87670.7,87676.83710242524,1207.184
474.714,87677.4,87683.53757143696,1206.559
474.892,87684.0,87690.13803344851,1205.94
475.071,87690.5,87696.63848845988,1205.321
475.249,87697.1,87704.52816906801,1204.701
475.427,87703.7,87709.83941248298,1204.086
475.607,87710.29999999999,87716.43987449452,1203.465
475.786,87716.9,87723.04033650608,1202.843
475.964,87723.5,87729.64079851763,1202.226
476.143,87730.0,87737.43095578231,1201.607
476.322,87736.6,87742.74171554057,1200.989
476.502,87743.2,87749.34217755211,1200.368
476.681,87749.8,87755.94263956367,1199.749
