# Simulation 13 (Up to date)
# 5013 data points written for 4 variables.
#
# Time (s),Altitude (m),Air pressure (mbar),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=1 seconds
2.325,110.409,1000.301,0.464
2.375,118.398,999.364,0.478
2.425,126.616,998.4,0.491
2.475,135.057,997.41,0.504
2.525,143.719,996.394,0.517
2.575,152.597,995.353,0.53
2.625,161.687,994.287,0.542
2.675,170.983,993.197,0.555
2.725,180.483,992.082,0.567
2.775,190.181,990.945,0.578
2.825,200.074,989.785,0.59
2.875,210.157,988.602,0.601
2.925,220.426,987.398,0.612
2.975,230.876,986.172,0.623
3,236.148,985.554,0.628
3.037,244.137,984.617,0.635
3.087,254.978,983.345,0.646
3.091,255.71,983.259,0.646
3.096,256.81,983.13,0.647
3.103,258.463,982.937,0.649
3.115,260.95,982.645,0.651
3.132,264.695,982.206,0.654
3.157,270.349,981.543,0.659
3.195,278.906,980.539,0.666
