# Simulation 13 (Up to date)
# 5013 data points written for 4 variables.
#
# Time (s),Altitude (m),Air pressure (mbar),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=1 seconds
93.362,2573.157,740.133,0.011
93.553,2572.448,740.198,0.011
93.744,2571.737,740.263,0.011
93.935,2571.026,740.328,0.011
94.126,2570.315,740.393,0.012
94.317,2569.61,740.457,0.011
94.51,2568.894,740.523,0.011
94.701,2568.187,740.588,0.012
94.893,2567.484,740.652,0.011
95.089,2566.765,740.718,0.012
95.28,2566.058,740.782,0.012
95.473,2565.352,740.847,0.011
95.669,2564.641,740.912,0.011
95.863,2563.926,740.977,0.011
96.055,2563.217,741.042,0.011
96.247,2562.505,741.107,0.011
96.439,2561.794,741.172,0.011
96.629,2561.084,741.237,0.012
96.82,2560.378,741.302,0.011
97.012,2559.665,741.367,0.011
97.203,2558.955,741.432,0.011
97.393,2558.246,741.497,0.011
97.584,2557.536,741.562,0.011
97.774,2556.827,741.627,0.011
97.965,2556.118,741.692,0.011
98.156,2555.412,741.756,0.011
98.348,2554.699,741.821,0.011
98.539,2553.99,741.886,0.011
98.73,2553.283,741.951,0.011
98.921,2552.572,742.016,0.011
99.112,2551.862,742.081,0.011
99.303,2551.157,742.145,0.011
99.495,2550.444,742.211,0.011
99.685,2549.736,742.275,0.011
99.876,2549.03,742.34,0.011
100.068,2548.32,742.405,0.011
100.26,2547.609,742.47,0.011
100.45,2546.9,742.535,0.011
100.641,2546.192,742.6,0.011
100.832,2545.483,742.665,0.012
101.022,2544.78,742.729,0.011
101.216,2544.067,742.794,0.011
101.407,2543.358,742.859,0.011
101.598,2542.651,742.924,0.011
101.79,2541.942,742.988,0.011
101.981,2541.233,743.053,0.011
102.172,2540.524,743.118,0.011
102.363,2539.816,743.183,0.012
102.554,2539.115,743.247,0.011
102.748,2538.399,743.313,0.011
102.938,2537.692,743.377,0.011
103.13,2536.983,743.442,0.011
103.32,2536.276,743.507,0.011
103.511,2535.567,743.572,0.011
103.702,2534.86,743.636,0.011
103.892,2534.151,743.701,0.011
104.083,2533.443,743.766,0.011
104.273,2532.735,743.831,0.011
104.463,2532.028,743.895,0.011
104.654,2531.321,743.96,0.011
104.844,2530.614,744.025,0.011
105.035,2529.906,744.089,0.011
105.226,2529.197,744.154,0.011
105.416,2528.492,744.219,0.011
105.608,2527.782,744.284,0.011
105.798,2527.075,744.348,0.011
105.988,2526.368,744.413,0.012
106.178,2525.674,744.477,0.011
106.376,2524.957,744.542,0.011
106.568,2524.246,744.607,0.012
106.758,2523.548,744.671,0.012
106.954,2522.841,744.736,0.011
107.149,2522.126,744.801,0.011
107.34,2521.42,744.866,0.011
107.531,2520.715,744.93,0.011
107.724,2520.004,744.995,0.011
107.914,2519.297,745.06,0.011
108.104,2518.591,745.125,0.011
108.295,2517.883,745.189,0.011
108.485,2517.18,745.254,0.011
108.677,2516.47,745.319,0.011
108.867,2515.764,745.383,0.011
109.057,2515.058,745.448,0.011
109.247,2514.353,745.512,0.012
109.439,2513.65,745.577,0.011
109.632,2512.939,745.642,0.011
109.823,2512.232,745.706,0.011
110.013,2511.526,745.771,0.011
110.204,2510.821,745.835,0.011
110.395,2510.116,745.9,0.011
110.586,2509.407,745.965,0.011
110.777,2508.701,746.029,0.011
110.966,2507.996,746.094,0.012
111.157,2507.296,746.158,0.011
111.351,2506.583,746.223,0.011
111.541,2505.877,746.288,0.011
111.731,2505.171,746.352,0.011
111.921,2504.466,746.417,0.011
112.111,2503.76,746.481,0.011
112.301,2503.054,746.546,0.011
112.491,2502.349,746.61,0.011
112.682,2501.643,746.675,0.011
112.872,2500.937,746.74,0.011
113.062,2500.232,746.804,0.011
113.252,2499.526,746.871,0.011
113.442,2498.821,746.939,0.011
113.632,2498.116,747.007,0.011
113.822,2497.411,747.075,0.011
114.012,2496.705,747.142,0.011
114.202,2496.001,747.21,0.011
114.392,2495.295,747.278,0.011
114.582,2494.59,747.346,0.011
114.772,2493.885,747.414,0.011
114.962,2493.18,747.482,0.011
115.152,2492.478,747.549,0.011
115.343,2491.77,747.617,0.011
115.533,2491.065,747.685,0.012
115.723,2490.365,747.753,0.011
115.916,2489.656,747.821,0.011
116.105,2488.951,747.889,0.011
116.295,2488.246,747.957,0.011
116.485,2487.542,748.024,0.011
116.675,2486.839,748.092,0.011
116.866,2486.134,748.16,0.011
117.056,2485.428,748.228,0.011
117.246,2484.724,748.296,0.011
117.436,2484.023,748.363,0.011
117.627,2483.316,748.431,0.011
117.817,2482.612,748.499,0.011
118.007,2481.908,748.567,0.011
118.197,2481.206,748.634,0.011
118.389,2480.5,748.702,0.011
118.579,2479.795,748.77,0.011
118.768,2479.092,748.838,0.011
118.958,2478.388,748.906,0.011
119.148,2477.684,748.973,0.011
119.338,2476.98,749.041,0.011
119.528,2476.278,749.109,0.011
119.718,2475.574,749.176,0.011
119.909,2474.869,749.244,0.011
120.099,2474.166,749.312,0.011
120.289,2473.462,749.38,0.011
120.478,2472.758,749.447,0.011
120.668,2472.055,749.515,0.011
120.858,2471.353,749.583,0.011
121.048,2470.649,749.65,0.011
121.238,2469.945,749.718,0.012
121.427,2469.248,749.785,0.011
121.621,2468.54,749.853,0.011
121.811,2467.836,749.921,0.011
122,2467.133,749.989,0.011
122.19,2466.43,750.057,0.011
122.38,2465.727,750.124,0.011
122.569,2465.027,750.192,0.011
122.76,2464.321,750.26,0.011
122.95,2463.618,750.327,0.011
123.139,2462.916,750.395,0.011
123.329,2462.214,750.462,0.011
123.52,2461.511,750.53,0.012
123.709,2460.813,750.597,0.011
123.902,2460.106,750.665,0.011
124.091,2459.403,750.733,0.011
124.281,2458.7,750.801,0.011
124.471,2457.998,750.868,0.011
124.66,2457.298,750.936,0.011
124.851,2456.594,751.003,0.012
125.041,2455.896,751.07,0.011
125.233,2455.19,751.138,0.011
125.423,2454.487,751.206,0.011
125.613,2453.785,751.274,0.011
125.803,2453.083,751.341,0.011
125.992,2452.381,751.409,0.012
126.182,2451.684,751.476,0.011
126.374,2450.98,751.544,0.011
126.565,2450.278,751.611,0.011
126.756,2449.574,751.679,0.011
126.946,2448.876,751.746,0.011
127.137,2448.175,751.814,0.011
127.329,2447.468,751.882,0.011
127.519,2446.767,751.949,0.011
128.019,2444.917,752.127,0.011
128.208,2444.216,752.195,0.011
128.398,2443.514,752.262,0.011
128.588,2442.817,752.329,0.011
128.78,2442.113,752.397,0.011
128.97,2441.412,752.465,0.011
129.16,2440.709,752.532,0.011
129.349,2440.008,752.6,0.011
129.539,2439.311,752.667,0.011
129.731,2438.606,752.735,0.011
129.92,2437.908,752.802,0.011
130.111,2437.206,752.869,0.012
130.301,2436.509,752.936,0.011
130.494,2435.802,753.005,0.011
130.683,2435.102,753.072,0.012
130.873,2434.411,753.138,0.011
131.067,2433.701,753.207,0.011
131.257,2433.002,753.274,0.011
131.447,2432.299,753.342,0.011
131.636,2431.602,753.409,0.011
131.828,2430.898,753.477,0.011
132.017,2430.198,753.544,0.012
132.206,2429.507,753.611,0.011
132.401,2428.799,753.679,0.011
132.591,2428.099,753.746,0.011
132.781,2427.397,753.814,0.011
132.97,2426.697,753.881,0.011
133.16,2425.999,753.948,0.011
133.35,2425.298,754.016,0.011
133.54,2424.597,754.083,0.011
133.729,2423.897,754.15,0.011
133.919,2423.197,754.218,0.011
134.108,2422.501,754.285,0.011
134.299,2421.803,754.352,0.011
134.491,2421.098,754.42,0.011
134.68,2420.399,754.487,0.011
134.87,2419.699,754.555,0.011
135.059,2419.001,754.622,0.011
135.249,2418.301,754.689,0.011
135.438,2417.601,754.757,0.011
135.628,2416.902,754.824,0.011
135.817,2416.202,754.891,0.011
136.006,2415.503,754.958,0.011
136.196,2414.805,755.026,0.011
136.386,2414.11,755.093,0.011
136.578,2413.405,755.16,0.011
136.767,2412.707,755.228,0.011
136.957,2412.012,755.294,0.011
137.149,2411.308,755.362,0.011
137.338,2410.613,755.429,0.011
137.529,2409.913,755.497,0.011
137.72,2409.211,755.564,0.011
137.909,2408.513,755.631,0.011
138.098,2407.817,755.698,0.011
138.289,2407.117,755.766,0.011
138.479,2406.417,755.833,0.011
138.668,2405.719,755.9,0.012
138.857,2405.031,755.966,0.011
139.053,2404.32,756.035,0.011
139.242,2403.622,756.102,0.011
139.431,2402.924,756.169,0.012
139.62,2402.233,756.236,0.011
139.813,2401.529,756.304,0.012
140.003,2400.838,756.37,0.011
140.197,2400.13,756.438,0.011
140.386,2399.432,756.505,0.011
140.575,2398.735,756.572,0.011
140.764,2398.038,756.639,0.011
140.954,2397.339,756.707,0.011
141.144,2396.643,756.774,0.011
141.334,2395.946,756.841,0.011
141.525,2395.245,756.908,0.011
141.714,2394.547,756.976,0.011
141.903,2393.851,757.043,0.011
142.093,2393.152,757.11,0.011
142.281,2392.456,757.177,0.011
142.472,2391.759,757.244,0.012
142.662,2391.066,757.311,0.011
142.855,2390.361,757.378,0.011
143.043,2389.664,757.446,0.011
143.232,2388.967,757.513,0.011
143.421,2388.269,757.58,0.011
143.61,2387.572,757.647,0.011
143.799,2386.875,757.714,0.011
143.987,2386.181,757.781,0.011
144.178,2385.482,757.848,0.011
144.368,2384.785,757.915,0.012
144.558,2384.097,757.981,0.011
144.752,2383.391,758.049,0.011
144.941,2382.693,758.117,0.011
145.13,2381.996,758.184,0.012
145.32,2381.31,758.25,0.011
145.514,2380.602,758.318,0.011
145.703,2379.908,758.385,0.011
145.894,2379.21,758.452,0.011
146.083,2378.512,758.519,0.011
146.272,2377.821,758.585,0.011
146.464,2377.119,758.653,0.011
146.653,2376.423,758.72,0.011
146.842,2375.73,758.787,0.011
147.033,2375.03,758.854,0.011
147.222,2374.338,758.921,0.011
147.413,2373.637,758.988,0.011
147.602,2372.942,759.055,0.011
147.792,2372.247,759.122,0.011
147.982,2371.548,759.189,0.011
148.17,2370.853,759.256,0.011
148.359,2370.158,759.323,0.012
148.549,2369.467,759.39,0.011
148.741,2368.764,759.457,0.012
148.93,2368.075,759.524,0.011
149.122,2367.374,759.591,0.011
149.311,2366.678,759.658,0.011
149.5,2365.981,759.725,0.011
149.689,2365.285,759.792,0.011
149.877,2364.591,759.859,0.011
150.067,2363.894,759.926,0.011
150.255,2363.199,759.993,0.011
150.444,2362.504,760.06,0.011
150.633,2361.808,760.127,0.011
150.821,2361.115,760.193,0.011
151.011,2360.417,760.261,0.011
151.2,2359.722,760.328,0.011
151.388,2359.027,760.394,0.011
151.577,2358.333,760.461,0.011
151.766,2357.638,760.528,0.011
151.955,2356.943,760.595,0.011
152.145,2356.246,760.662,0.011
152.333,2355.552,760.729,0.011
152.522,2354.858,760.796,0.011
152.711,2354.162,760.863,0.011
152.9,2353.469,760.929,0.011
153.089,2352.772,760.996,0.011
153.278,2352.081,761.063,0.011
153.468,2351.383,761.13,0.011
153.657,2350.69,761.197,0.011
153.846,2349.993,761.264,0.011
154.034,2349.299,761.331,0.011
154.223,2348.61,761.397,0.011
154.414,2347.91,761.465,0.011
154.602,2347.217,761.531,0.011
154.792,2346.523,761.598,0.011
154.981,2345.828,761.665,0.011
155.17,2345.133,761.732,0.011
155.358,2344.439,761.799,0.011
155.546,2343.745,761.865,0.012
155.735,2343.058,761.932,0.011
155.927,2342.365,761.998,0.011
156.12,2341.663,762.066,0.011
156.309,2340.97,762.133,0.011
156.498,2340.277,762.199,0.011
156.688,2339.583,762.266,0.011
156.878,2338.892,762.332,0.011
157.069,2338.196,762.399,0.011
157.259,2337.5,762.466,0.011
157.448,2336.806,762.533,0.011
157.636,2336.117,762.6,0.011
157.827,2335.419,762.667,0.012
158.015,2334.732,762.733,0.011
158.207,2334.035,762.8,0.011
158.397,2333.339,762.867,0.011
158.586,2332.645,762.934,0.011
158.774,2331.952,763.001,0.011
158.962,2331.259,763.067,0.011
159.151,2330.565,763.134,0.011
159.339,2329.872,763.201,0.011
159.527,2329.182,763.267,0.011
159.717,2328.488,763.334,0.011
159.906,2327.794,763.401,0.011
160.094,2327.101,763.467,0.011
160.283,2326.408,763.534,0.011
160.471,2325.717,763.601,0.011
160.661,2325.023,763.667,0.011
160.849,2324.331,763.734,0.011
161.039,2323.636,763.801,0.011
161.227,2322.945,763.867,0.011
161.416,2322.255,763.934,0.011
161.606,2321.559,764.001,0.011
161.795,2320.868,764.067,0.011
161.984,2320.174,764.134,0.011
162.172,2319.482,764.201,0.011
162.361,2318.79,764.267,0.011
162.549,2318.097,764.334,0.012
162.737,2317.411,764.4,0.011
162.929,2316.713,764.467,0.011
163.118,2316.02,764.534,0.011
163.306,2315.331,764.6,0.011
163.495,2314.636,764.667,0.011
163.684,2313.945,764.734,0.011
163.872,2313.252,764.8,0.011
164.06,2312.56,764.867,0.011
164.249,2311.868,764.934,0.011
164.437,2311.176,765,0.011
164.625,2310.488,765.066,0.011
164.815,2309.793,765.133,0.011
165.003,2309.101,765.2,0.011
165.191,2308.409,765.267,0.011
165.379,2307.718,765.333,0.011
165.567,2307.028,765.4,0.011
165.756,2306.335,765.466,0.011
165.944,2305.645,765.533,0.011
166.133,2304.954,765.599,0.011
166.322,2304.261,765.666,0.011
166.51,2303.569,765.732,0.011
166.698,2302.879,765.799,0.011
166.886,2302.188,765.865,0.011
167.075,2301.497,765.932,0.011
167.263,2300.805,765.999,0.011
167.451,2300.114,766.065,0.011
167.64,2299.423,766.132,0.011
167.827,2298.735,766.198,0.011
168.017,2298.041,766.265,0.011
168.205,2297.35,766.331,0.011
168.393,2296.66,766.398,0.011
168.581,2295.969,766.464,0.011
168.769,2295.28,766.53,0.011
168.958,2294.589,766.597,0.012
169.147,2293.905,766.663,0.011
169.339,2293.21,766.73,0.011
169.53,2292.516,766.796,0.011
169.718,2291.83,766.862,0.011
169.908,2291.137,766.929,0.011
170.098,2290.444,766.996,0.011
170.286,2289.754,767.062,0.011
170.474,2289.065,767.129,0.011
170.662,2288.374,767.195,0.011
170.85,2287.683,767.262,0.011
171.038,2286.993,767.328,0.011
171.226,2286.304,767.394,0.011
171.414,2285.614,767.461,0.011
171.602,2284.923,767.527,0.011
171.79,2284.234,767.594,0.011
171.978,2283.545,767.66,0.012
172.166,2282.862,767.726,0.011
172.359,2282.164,767.793,0.011
172.546,2281.474,767.859,0.011
172.734,2280.784,767.926,0.011
172.922,2280.095,767.992,0.011
173.11,2279.405,768.058,0.011
173.298,2278.717,768.125,0.011
173.486,2278.029,768.191,0.011
173.676,2277.337,768.257,0.011
173.864,2276.647,768.324,0.011
174.051,2275.96,768.39,0.011
174.24,2275.274,768.456,0.011
174.431,2274.581,768.523,0.011
174.619,2273.894,768.589,0.011
174.809,2273.201,768.656,0.011
174.996,2272.512,768.722,0.011
175.184,2271.823,768.788,0.011
175.372,2271.138,768.854,0.011
175.562,2270.446,768.921,0.011
175.75,2269.757,768.987,0.011
175.939,2269.073,769.053,0.011
176.129,2268.382,769.119,0.011
176.319,2267.69,769.186,0.011
176.506,2267.001,769.252,0.011
176.694,2266.313,769.319,0.011
176.882,2265.624,769.385,0.011
177.07,2264.94,769.451,0.012
177.26,2264.258,769.516,0.011
177.454,2263.562,769.583,0.011
177.644,2262.869,769.65,0.011
177.832,2262.185,769.716,0.011
178.021,2261.493,769.782,0.011
178.209,2260.806,769.849,0.011
178.397,2260.118,769.915,0.011
178.586,2259.43,769.981,0.011
178.774,2258.741,770.047,0.011
178.962,2258.052,770.114,0.011
179.15,2257.364,770.18,0.011
179.338,2256.676,770.246,0.011
179.525,2255.988,770.312,0.012
179.713,2255.307,770.378,0.011
179.904,2254.618,770.444,0.011
180.095,2253.925,770.511,0.011
180.283,2253.239,770.577,0.012
180.472,2252.557,770.643,0.011
180.664,2251.861,770.71,0.011
180.851,2251.173,770.776,0.011
181.038,2250.488,770.842,0.011
181.227,2249.8,770.908,0.011
181.416,2249.113,770.974,0.011
181.604,2248.425,771.04,0.011
181.792,2247.738,771.106,0.011
181.981,2247.049,771.173,0.011
182.168,2246.361,771.239,0.011
182.356,2245.675,771.305,0.011
182.544,2244.987,771.371,0.011
182.731,2244.302,771.437,0.011
182.92,2243.613,771.503,0.011
183.107,2242.927,771.57,0.011
183.295,2242.239,771.636,0.011
183.483,2241.554,771.702,0.011
183.671,2240.865,771.768,0.011
183.859,2240.178,771.834,0.011
184.046,2239.498,771.9,0.011
184.237,2238.807,771.966,0.011
184.426,2238.119,772.032,0.011
184.614,2237.434,772.098,0.011
184.803,2236.752,772.164,0.011
184.994,2236.061,772.23,0.011
185.183,2235.375,772.296,0.011
185.372,2234.685,772.363,0.011
185.559,2234.001,772.429,0.011
185.748,2233.314,772.495,0.011
185.936,2232.626,772.561,0.011
186.123,2231.944,772.627,0.011
186.313,2231.254,772.693,0.011
186.501,2230.57,772.759,0.011
186.69,2229.884,772.825,0.011
186.878,2229.197,772.891,0.011
187.067,2228.509,772.957,0.011
187.254,2227.824,773.023,0.011
187.442,2227.138,773.089,0.011
187.629,2226.455,773.155,0.011
187.819,2225.765,773.221,0.011
188.006,2225.08,773.287,0.011
188.193,2224.396,773.353,0.011
188.382,2223.71,773.419,0.011
188.57,2223.024,773.485,0.011
188.758,2222.337,773.551,0.011
188.945,2221.652,773.617,0.011
189.133,2220.972,773.683,0.011
189.323,2220.28,773.749,0.011
189.511,2219.595,773.815,0.011
189.698,2218.914,773.881,0.011
189.887,2218.225,773.947,0.011
190.075,2217.539,774.013,0.011
190.262,2216.854,774.079,0.011
190.449,2216.171,774.145,0.011
190.638,2215.486,774.211,0.011
190.827,2214.798,774.277,0.011
191.014,2214.116,774.343,0.011
191.203,2213.429,774.409,0.011
191.39,2212.743,774.475,0.011
191.577,2212.06,774.541,0.011
191.765,2211.376,774.606,0.011
191.954,2210.689,774.673,0.011
192.142,2210.004,774.738,0.011
192.329,2209.321,774.804,0.011
192.517,2208.635,774.87,0.011
192.704,2207.95,774.936,0.011
192.891,2207.265,775.002,0.011
193.078,2206.583,775.068,0.011
193.266,2205.897,775.134,0.011
193.454,2205.212,775.2,0.011
193.641,2204.527,775.266,0.011
193.828,2203.843,775.331,0.011
194.015,2203.16,775.397,0.011
194.202,2202.476,775.463,0.011
194.39,2201.793,775.529,0.011
194.579,2201.107,775.595,0.011
194.766,2200.424,775.661,0.011
194.954,2199.739,775.727,0.011
195.141,2199.054,775.792,0.011
195.328,2198.371,775.858,0.011
195.516,2197.687,775.924,0.011
195.703,2197.002,775.99,0.011
195.89,2196.319,776.056,0.011
196.077,2195.635,776.122,0.011
196.264,2194.951,776.187,0.011
196.451,2194.268,776.253,0.011
196.638,2193.585,776.319,0.011
196.825,2192.9,776.385,0.011
197.012,2192.22,776.45,0.011
197.201,2191.533,776.516,0.011
197.388,2190.85,776.582,0.011
197.575,2190.167,776.648,0.011
197.762,2189.484,776.714,0.011
197.95,2188.8,776.779,0.011
198.137,2188.117,776.845,0.011
198.324,2187.433,776.911,0.011
198.511,2186.75,776.977,0.011
198.698,2186.073,777.042,0.011
198.888,2185.385,777.108,0.011
199.075,2184.701,777.174,0.011
199.262,2184.022,777.239,0.011
199.451,2183.338,777.305,0.011
199.64,2182.652,777.371,0.011
199.827,2181.969,777.437,0.011
200.014,2181.286,777.503,0.011
200.2,2180.604,777.568,0.011
200.387,2179.922,777.634,0.011
200.574,2179.24,777.7,0.011
200.762,2178.556,777.765,0.011
200.949,2177.879,777.831,0.011
201.139,2177.191,777.897,0.011
201.326,2176.508,777.963,0.011
201.513,2175.826,778.028,0.011
201.7,2175.143,778.094,0.012
201.887,2174.478,778.158,0.011
202.083,2173.791,778.224,0.011
202.277,2173.1,778.291,0.011
202.466,2172.419,778.356,0.011
202.656,2171.733,778.422,0.011
202.844,2171.05,778.488,0.011
203.031,2170.368,778.554,0.011
203.218,2169.688,778.619,0.011
203.406,2169.003,778.685,0.011
203.593,2168.322,778.75,0.011
203.78,2167.64,778.816,0.011
203.967,2166.958,778.882,0.011
204.154,2166.276,778.947,0.011
204.34,2165.594,779.013,0.011
204.527,2164.913,779.079,0.011
204.714,2164.231,779.144,0.011
204.9,2163.55,779.21,0.011
205.088,2162.868,779.275,0.011
205.274,2162.187,779.341,0.011
205.461,2161.507,779.407,0.011
205.648,2160.825,779.472,0.011
205.836,2160.144,779.538,0.011
206.023,2159.462,779.603,0.011
206.21,2158.782,779.669,0.011
206.398,2158.099,779.735,0.011
206.584,2157.417,779.8,0.011
206.771,2156.737,779.866,0.011
206.958,2156.06,779.931,0.011
207.147,2155.375,779.997,0.011
207.334,2154.694,780.062,0.011
207.521,2154.017,780.127,0.011
207.711,2153.331,780.193,0.011
207.897,2152.651,780.259,0.011
208.084,2151.97,780.324,0.011
208.271,2151.289,780.39,0.011
208.457,2150.611,780.455,0.011
208.645,2149.929,780.521,0.011
208.832,2149.248,780.586,0.012
209.019,2148.576,780.651,0.011
209.211,2147.885,780.718,0.011
209.398,2147.205,780.783,0.011
209.584,2146.525,780.849,0.011
209.771,2145.852,780.913,0.011
209.961,2145.164,780.98,0.011
210.148,2144.488,781.045,0.011
210.337,2143.807,781.11,0.011
210.525,2143.123,781.176,0.011
210.712,2142.444,781.241,0.011
210.899,2141.766,781.307,0.011
211.087,2141.083,781.372,0.011
211.273,2140.403,781.438,0.011
211.46,2139.727,781.503,0.011
211.648,2139.043,781.569,0.011
211.835,2138.363,781.634,0.011
212.022,2137.684,781.7,0.011
212.208,2137.003,781.765,0.011
212.395,2136.324,781.83,0.011
212.581,2135.647,781.896,0.011
212.769,2134.969,781.961,0.011
212.958,2134.285,782.027,0.011
213.145,2133.605,782.092,0.012
213.331,2132.934,782.157,0.011
213.522,2132.246,782.223,0.011
213.708,2131.57,782.288,0.011
213.897,2130.891,782.353,0.011
214.085,2130.209,782.419,0.011
214.272,2129.529,782.484,0.011
214.458,2128.851,782.55,0.011
214.646,2128.171,782.615,0.011
214.832,2127.492,782.681,0.011
215.019,2126.814,782.746,0.011
215.207,2126.133,782.811,0.011
215.393,2125.454,782.877,0.011
215.579,2124.775,782.942,0.011
215.765,2124.099,783.007,0.011
215.953,2123.417,783.073,0.011
216.139,2122.739,783.138,0.011
216.326,2122.063,783.203,0.011
216.514,2121.381,783.269,0.011
216.701,2120.706,783.334,0.011
216.889,2120.024,783.399,0.011
217.075,2119.345,783.465,0.011
217.262,2118.666,783.53,0.011
217.448,2117.989,783.595,0.011
217.635,2117.31,783.661,0.011
217.821,2116.633,783.726,0.011
218.008,2115.954,783.791,0.011
218.195,2115.275,783.856,0.011
218.382,2114.596,783.922,0.011
218.568,2113.918,783.987,0.011
218.755,2113.24,784.052,0.011
218.941,2112.562,784.118,0.011
219.127,2111.884,784.183,0.011
219.314,2111.207,784.248,0.011
219.501,2110.528,784.313,0.011
219.687,2109.85,784.379,0.011
219.873,2109.175,784.444,0.011
220.061,2108.495,784.509,0.011
220.248,2107.816,784.574,0.011
220.434,2107.139,784.64,0.011
220.621,2106.46,784.705,0.011
220.807,2105.785,784.77,0.011
220.994,2105.107,784.835,0.011
221.181,2104.432,784.9,0.011
221.369,2103.75,784.966,0.012
221.555,2103.081,785.03,0.011
221.746,2102.399,785.096,0.011
221.934,2101.721,785.161,0.011
222.122,2101.044,785.226,0.011
222.31,2100.364,785.292,0.011
222.497,2099.686,785.357,0.011
222.683,2099.01,785.422,0.011
222.87,2098.332,785.487,0.011
223.056,2097.655,785.552,0.011
223.243,2096.977,785.618,0.011
223.429,2096.3,785.683,0.011
223.615,2095.623,785.748,0.011
223.801,2094.948,785.813,0.011
223.989,2094.269,785.878,0.011
224.175,2093.592,785.944,0.011
224.361,2092.916,786.009,0.011
224.547,2092.239,786.074,0.011
224.733,2091.562,786.139,0.011
224.919,2090.885,786.204,0.011
225.105,2090.209,786.269,0.011
225.291,2089.532,786.334,0.011
225.477,2088.855,786.399,0.011
225.663,2088.179,786.465,0.011
225.849,2087.503,786.53,0.011
226.036,2086.827,786.595,0.011
226.222,2086.15,786.66,0.011
226.408,2085.476,786.725,0.011
226.596,2084.797,786.79,0.011
226.782,2084.121,786.855,0.011
226.968,2083.445,786.92,0.011
227.154,2082.769,786.985,0.011
227.34,2082.093,787.05,0.011
227.526,2081.422,787.115,0.011
227.715,2080.744,787.18,0.011
227.903,2080.064,787.246,0.011
228.089,2079.39,787.311,0.011
228.276,2078.713,787.376,0.011
228.462,2078.043,787.44,0.012
228.651,2077.373,787.505,0.011
228.844,2076.698,787.57,0.011
229.037,2076.009,787.636,0.012
229.223,2075.343,787.7,0.011
229.414,2074.658,787.766,0.011
229.6,2073.985,787.831,0.011
229.787,2073.317,787.895,0.011
229.978,2072.631,787.961,0.011
230.164,2071.957,788.026,0.012
230.351,2071.29,788.09,0.011
230.542,2070.61,788.156,0.011
230.73,2069.931,788.221,0.011
230.917,2069.255,788.286,0.011
231.103,2068.579,788.351,0.011
231.289,2067.907,788.416,0.011
231.477,2067.23,788.481,0.011
231.663,2066.56,788.546,0.011
231.852,2065.879,788.611,0.011
232.037,2065.204,788.676,0.011
232.223,2064.529,788.741,0.011
232.409,2063.855,788.806,0.011
232.595,2063.18,788.871,0.011
232.781,2062.504,788.936,0.011
232.967,2061.83,789.001,0.011
233.153,2061.155,789.066,0.011
233.339,2060.481,789.131,0.011
233.525,2059.808,789.195,0.011
233.712,2059.132,789.26,0.011
233.898,2058.457,789.325,0.011
234.084,2057.784,789.39,0.011
234.272,2057.108,789.455,0.011
234.457,2056.434,789.52,0.011
234.643,2055.759,789.585,0.011
234.829,2055.086,789.65,0.011
235.016,2054.412,789.715,0.011
235.202,2053.736,789.78,0.011
235.388,2053.063,789.845,0.011
235.574,2052.389,789.909,0.011
235.76,2051.716,789.974,0.011
235.947,2051.041,790.039,0.011
236.133,2050.366,790.104,0.011
236.319,2049.694,790.169,0.011
236.506,2049.019,790.234,0.011
236.692,2048.349,790.298,0.011
236.88,2047.67,790.364,0.011
237.065,2046.997,790.428,0.011
237.251,2046.323,790.493,0.011
237.437,2045.649,790.558,0.011
237.623,2044.976,790.623,0.011
237.808,2044.302,790.688,0.011
237.994,2043.628,790.753,0.011
238.179,2042.955,790.818,0.011
238.365,2042.281,790.882,0.011
238.551,2041.608,790.947,0.011
238.736,2040.936,791.012,0.011
238.922,2040.264,791.077,0.011
239.109,2039.593,791.141,0.011
239.297,2038.915,791.206,0.011
239.483,2038.243,791.271,0.011
239.669,2037.569,791.336,0.011
239.855,2036.895,791.401,0.011
240.04,2036.222,791.466,0.011
240.226,2035.55,791.53,0.011
240.412,2034.876,791.595,0.011
240.597,2034.208,791.659,0.011
240.785,2033.534,791.724,0.011
240.972,2032.859,791.789,0.011
241.158,2032.185,791.854,0.011
241.344,2031.513,791.919,0.011
241.53,2030.844,791.983,0.011
241.717,2030.167,792.048,0.011
241.903,2029.5,792.113,0.011
242.091,2028.822,792.178,0.011
242.277,2028.149,792.243,0.011
242.462,2027.482,792.307,0.011
242.651,2026.806,792.372,0.011
242.837,2026.132,792.437,0.011
243.023,2025.459,792.502,0.011
243.208,2024.787,792.566,0.011
243.393,2024.119,792.631,0.011
243.581,2023.443,792.696,0.011
243.767,2022.771,792.76,0.011
243.952,2022.1,792.825,0.011
244.138,2021.429,792.889,0.011
244.325,2020.762,792.954,0.011
244.515,2020.082,793.019,0.011
244.7,2019.41,793.084,0.011
244.886,2018.741,793.148,0.011
245.073,2018.068,793.213,0.011
245.259,2017.395,793.278,0.011
245.445,2016.723,793.342,0.011
245.63,2016.052,793.407,0.011
245.816,2015.379,793.472,0.011
246.001,2014.708,793.536,0.012
246.187,2014.047,793.6,0.011
246.378,2013.365,793.666,0.011
246.563,2012.695,793.73,0.011
246.75,2012.023,793.795,0.011
246.936,2011.35,793.86,0.011
247.121,2010.679,793.924,0.011
247.306,2010.008,793.989,0.011
247.492,2009.34,794.053,0.011
247.68,2008.665,794.118,0.011
