# Simulation 13 (Up to date)
# 5013 data points written for 3 variables.
#
# Time (s),Air pressure (mbar),Mach number (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=1 seconds
1,1013.25,0.02
1.01,1013.249,0.021
# Event LIFTOFF occurred at t=1.02 seconds
1.02,1013.247,0.022
1.03,1013.243,0.023
1.04,1013.238,0.026
1.05,1013.231,0.028
1.06,1013.222,0.031
1.07,1013.213,0.034
1.08,1013.201,0.037
1.09,1013.188,0.04
1.1,1013.174,0.044
1.11,1013.157,0.047
1.12,1013.14,0.05
1.13,1013.121,0.054
1.14,1013.1,0.057
1.15,1013.078,0.061
1.16,1013.054,0.064
1.17,1013.029,0.068
1.18,1013.002,0.072
1.19,1012.974,0.075
1.2,1012.944,0.079
1.21,1012.912,0.083
1.22,1012.88,0.087
1.23,1012.845,0.091
1.24,1012.809,0.094
1.25,1012.771,0.098
1.26,1012.732,0.102
1.27,1012.692,0.106
1.28,1012.65,0.11
1.29,1012.606,0.113
1.3,1012.561,0.117
# Event LAUNCHROD occurred at t=1.31 seconds
1.31,1012.514,0.121
1.325,1012.441,0.127
1.333,1012.403,0.13
1.344,1012.344,0.134
1.361,1012.251,0.14
1.387,1012.104,0.15
1.425,1011.865,0.165
1.475,1011.519,0.184
1.525,1011.135,0.203
1.575,1010.713,0.221
1.625,1010.254,0.24
1.675,1009.759,0.258
1.725,1009.227,0.276
1.775,1008.66,0.293
1.825,1008.06,0.31
1.875,1007.425,0.327
1.925,1006.757,0.343
1.975,1006.057,0.359
2.025,1005.325,0.375
2.075,1004.562,0.391
2.125,1003.769,0.406
2.175,1002.945,0.421
2.225,1002.092,0.436
2.275,1001.21,0.45
2.325,1000.301,0.464
2.375,999.364,0.478
2.425,998.4,0.491
2.475,997.41,0.504
2.525,996.394,0.517
2.575,995.353,0.53
2.625,994.287,0.542
2.675,993.197,0.555
2.725,992.082,0.567
2.775,990.945,0.578
2.825,989.785,0.59
2.875,988.602,0.601
2.925,987.398,0.612
2.975,986.172,0.623
3,985.554,0.628
3.037,984.617,0.635
3.087,983.345,0.646
3.091,983.259,0.646
3.096,983.13,0.647
3.103,982.937,0.649
3.115,982.645,0.651
3.132,982.206,0.654
3.157,981.543,0.659
3.195,980.539,0.666
3.245,979.207,0.676
3.295,977.858,0.684
3.345,976.491,0.693
3.35,976.357,0.694
3.357,976.156,0.695
3.368,975.853,0.697
3.385,975.397,0.7
3.409,974.71,0.704
3.446,973.672,0.71
3.496,972.256,0.718
3.546,970.825,0.726
3.596,969.379,0.733
3.646,967.92,0.74
3.696,966.447,0.746
3.746,964.961,0.753
3.796,963.462,0.759
3.846,961.952,0.765
3.896,960.43,0.771
3.946,958.898,0.776
3.996,957.356,0.782
4.046,955.804,0.786
4.096,954.263,0.788
4.146,952.778,0.788
4.196,951.291,0.788
4.246,949.807,0.787
4.296,948.326,0.785
4.346,946.849,0.782
# Event BURNOUT occurred at t=4.35 seconds
4.35,946.744,0.782
4.355,946.585,0.781
4.363,946.348,0.781
4.376,945.992,0.78
4.394,945.458,0.779
4.421,944.66,0.777
4.462,943.467,0.774
4.512,942.013,0.771
4.562,940.565,0.767
4.612,939.124,0.764
4.662,937.689,0.76
4.712,936.262,0.757
4.762,934.84,0.754
4.812,933.425,0.751
4.862,932.016,0.747
4.912,930.614,0.744
4.962,929.218,0.741
5.012,927.829,0.738
5.062,926.445,0.734
5.112,925.068,0.731
5.162,923.697,0.728
5.212,922.332,0.725
5.262,920.973,0.722
5.312,919.62,0.719
5.362,918.273,0.716
5.412,916.932,0.713
5.462,915.597,0.71
5.512,914.268,0.706
5.562,912.945,0.703
5.612,911.628,0.7
5.662,910.317,0.697
5.712,909.011,0.694
5.762,907.711,0.691
5.812,906.417,0.688
5.862,905.129,0.686
5.912,903.846,0.683
5.962,902.569,0.68
6.012,901.297,0.677
6.062,900.031,0.674
6.112,898.771,0.671
6.162,897.574,0.668
6.212,896.385,0.666
6.262,895.2,0.663
6.312,894.021,0.66
6.362,892.847,0.657
6.412,891.678,0.655
6.462,890.514,0.652
6.512,889.355,0.649
6.562,888.201,0.646
6.612,887.052,0.644
6.662,885.908,0.641
6.712,884.769,0.638
6.762,883.635,0.636
6.812,882.506,0.633
6.862,881.382,0.63
6.912,880.263,0.628
6.962,879.149,0.625
7.012,878.039,0.622
7.062,876.934,0.62
7.112,875.834,0.617
7.162,874.739,0.615
7.212,873.648,0.612
7.262,872.562,0.609
7.312,871.481,0.607
7.362,870.404,0.604
7.412,869.333,0.601
7.462,868.265,0.599
7.512,867.203,0.596
7.562,866.145,0.594
7.612,865.091,0.592
7.662,864.042,0.589
7.712,862.998,0.587
7.762,861.958,0.584
7.812,860.922,0.582
7.862,859.891,0.579
7.912,858.865,0.577
7.962,857.843,0.575
8.012,856.825,0.572
8.062,855.812,0.57
8.112,854.803,0.568
8.162,853.798,0.565
8.212,852.798,0.563
8.262,851.802,0.56
8.312,850.81,0.558
8.362,849.823,0.556
8.412,848.84,0.553
8.462,847.861,0.551
8.512,846.887,0.549
8.562,845.916,0.546
8.612,844.98,0.544
8.662,844.065,0.542
8.712,843.153,0.54
8.762,842.246,0.537
8.812,841.343,0.535
8.862,840.443,0.533
8.912,839.548,0.53
8.962,838.656,0.528
9.012,837.769,0.526
9.062,836.885,0.523
9.112,836.005,0.521
9.162,835.129,0.519
9.212,834.256,0.517
9.262,833.388,0.515
9.312,832.523,0.513
9.362,831.662,0.51
9.412,830.805,0.508
9.462,829.952,0.506
9.512,829.102,0.504
9.562,828.256,0.502
9.612,827.414,0.5
9.662,826.575,0.497
9.712,825.741,0.495
9.762,824.91,0.493
9.812,824.082,0.491
9.862,823.258,0.489
9.912,822.438,0.487
9.962,821.622,0.485
10.012,820.809,0.483
10.062,820,0.481
10.112,819.195,0.478
10.162,818.393,0.476
10.212,817.595,0.474
10.262,816.8,0.472
10.312,816.009,0.47
10.362,815.221,0.468
10.412,814.437,0.466
10.462,813.656,0.464
10.512,812.879,0.462
10.562,812.106,0.46
10.612,811.336,0.458
10.662,810.569,0.456
10.712,809.806,0.454
10.762,809.047,0.452
10.812,808.291,0.45
10.862,807.538,0.448
10.912,806.789,0.446
10.962,806.043,0.444
11.012,805.301,0.442
11.062,804.562,0.44
11.112,803.826,0.438
11.162,803.094,0.436
11.212,802.365,0.434
11.262,801.64,0.432
11.312,800.918,0.43
11.362,800.199,0.428
11.412,799.484,0.426
11.462,798.772,0.424
11.512,798.063,0.422
11.562,797.358,0.42
11.612,796.656,0.419
11.662,795.957,0.417
11.712,795.261,0.415
11.762,794.588,0.413
11.812,793.933,0.411
11.862,793.281,0.409
11.912,792.632,0.407
11.962,791.987,0.405
12.012,791.344,0.403
12.062,790.704,0.401
12.112,790.068,0.399
12.162,789.434,0.397
12.212,788.804,0.395
12.262,788.177,0.393
12.312,787.552,0.392
12.362,786.931,0.39
12.412,786.313,0.388
12.462,785.698,0.386
12.512,785.085,0.384
12.562,784.476,0.382
12.612,783.87,0.381
12.662,783.267,0.379
12.712,782.667,0.377
12.762,782.069,0.375
12.812,781.475,0.374
12.862,780.884,0.372
12.912,780.295,0.37
12.962,779.71,0.368
13.012,779.127,0.366
13.062,778.548,0.364
13.112,777.971,0.362
13.162,777.397,0.361
13.212,776.827,0.359
13.262,776.259,0.357
13.312,775.694,0.355
13.362,775.132,0.354
13.412,774.573,0.352
13.462,774.016,0.35
13.512,773.463,0.348
13.562,772.912,0.346
13.612,772.365,0.345
13.662,771.82,0.343
13.712,771.278,0.342
13.762,770.739,0.34
13.812,770.203,0.338
13.862,769.67,0.336
13.912,769.139,0.335
13.962,768.612,0.333
14.012,768.087,0.331
14.062,767.565,0.329
14.112,767.046,0.328
14.162,766.53,0.326
14.212,766.016,0.324
14.262,765.505,0.322
14.312,764.998,0.321
14.362,764.492,0.319
14.412,763.99,0.317
14.462,763.491,0.315
14.512,762.994,0.314
14.562,762.5,0.312
14.612,762.008,0.31
14.662,761.52,0.308
14.712,761.034,0.306
14.762,760.551,0.305
14.812,760.071,0.303
14.862,759.594,0.301
14.912,759.119,0.3
14.962,758.647,0.298
15.012,758.178,0.296
15.062,757.711,0.295
15.112,757.247,0.293
15.162,756.786,0.291
15.212,756.327,0.29
15.262,755.872,0.288
15.312,755.419,0.287
15.362,754.968,0.285
15.412,754.521,0.284
15.462,754.076,0.282
15.512,753.633,0.28
15.562,753.194,0.279
15.612,752.757,0.277
15.662,752.323,0.275
15.712,751.891,0.274
15.762,751.462,0.272
15.812,751.036,0.27
15.862,750.612,0.269
15.912,750.191,0.267
15.962,749.773,0.265
16.012,749.357,0.263
16.062,748.944,0.262
16.112,748.534,0.26
16.162,748.126,0.259
16.212,747.721,0.257
16.262,747.318,0.255
16.312,746.918,0.254
16.362,746.536,0.252
16.412,746.161,0.25
16.462,745.789,0.249
16.512,745.419,0.247
16.562,745.051,0.246
16.612,744.686,0.244
16.662,744.323,0.243
16.712,743.963,0.241
16.762,743.606,0.239
16.812,743.25,0.238
16.862,742.898,0.236
16.912,742.547,0.234
16.962,742.2,0.233
17.012,741.854,0.231
17.062,741.511,0.23
17.112,741.171,0.228
17.162,740.833,0.227
17.212,740.497,0.225
17.262,740.164,0.223
17.312,739.833,0.222
17.362,739.505,0.221
17.412,739.179,0.219
17.462,738.856,0.217
17.512,738.535,0.215
17.562,738.216,0.214
17.612,737.9,0.213
17.662,737.586,0.211
17.712,737.274,0.21
17.762,736.965,0.209
17.812,736.659,0.207
17.862,736.355,0.205
17.912,736.053,0.204
17.962,735.753,0.203
18.012,735.456,0.201
18.062,735.162,0.2
18.112,734.869,0.198
18.162,734.579,0.196
18.212,734.292,0.195
18.262,734.007,0.193
18.312,733.724,0.191
18.362,733.443,0.19
18.412,733.165,0.188
18.462,732.89,0.186
18.512,732.616,0.185
18.562,732.345,0.183
18.612,732.077,0.182
18.662,731.81,0.18
18.712,731.547,0.179
18.762,731.285,0.177
18.812,731.026,0.175
18.862,730.769,0.174
18.912,730.515,0.172
18.962,730.263,0.171
19.012,730.013,0.17
19.062,729.765,0.168
19.112,729.52,0.167
19.162,729.278,0.165
19.212,729.037,0.163
19.262,728.799,0.162
19.312,728.564,0.16
19.362,728.33,0.159
19.412,728.099,0.157
19.462,727.871,0.156
19.512,727.644,0.155
19.562,727.42,0.154
19.612,727.199,0.152
19.662,726.979,0.151
19.712,726.762,0.149
19.762,726.548,0.148
19.812,726.335,0.146
19.862,726.125,0.144
19.912,725.918,0.143
19.962,725.712,0.141
20.012,725.509,0.139
20.062,725.308,0.138
20.112,725.11,0.136
20.162,724.914,0.134
20.212,724.72,0.133
20.262,724.528,0.132
20.312,724.339,0.13
20.362,724.152,0.129
20.412,723.968,0.128
20.462,723.785,0.126
20.512,723.605,0.125
20.562,723.428,0.124
20.612,723.252,0.122
20.662,723.079,0.121
20.712,722.908,0.12
20.762,722.739,0.118
20.812,722.573,0.117
20.862,722.409,0.115
20.912,722.247,0.114
20.962,722.088,0.113
21.012,721.931,0.111
21.062,721.776,0.11
21.112,721.623,0.109
21.162,721.473,0.108
21.212,721.325,0.107
21.262,721.179,0.105
21.312,721.036,0.104
21.362,720.894,0.103
21.412,720.755,0.1
21.462,720.618,0.099
21.512,720.484,0.097
21.562,720.352,0.096
21.612,720.222,0.094
21.662,720.094,0.093
21.712,719.969,0.091
21.762,719.845,0.09
21.812,719.724,0.089
21.862,719.606,0.087
21.912,719.489,0.086
21.962,719.375,0.084
22.012,719.263,0.083
22.062,719.154,0.081
22.112,719.046,0.079
22.162,718.941,0.078
22.212,718.838,0.077
22.262,718.737,0.075
22.312,718.639,0.074
22.362,718.543,0.072
22.412,718.449,0.071
22.462,718.357,0.07
22.512,718.268,0.07
22.562,718.181,0.069
22.612,718.096,0.067
22.662,718.013,0.065
22.712,717.933,0.064
22.762,717.854,0.063
22.812,717.778,0.061
22.862,717.705,0.06
22.912,717.633,0.059
22.962,717.564,0.058
23.012,717.497,0.057
23.062,717.432,0.056
23.112,717.37,0.056
23.162,717.309,0.054
23.212,717.251,0.053
23.262,717.195,0.052
23.312,717.142,0.052
23.362,717.09,0.051
23.412,717.041,0.049
23.462,716.994,0.048
23.512,716.949,0.048
23.562,716.906,0.046
23.612,716.866,0.046
23.662,716.828,0.045
23.712,716.792,0.045
23.762,716.758,0.044
23.812,716.726,0.043
23.862,716.697,0.042
23.912,716.67,0.043
23.962,716.644,0.043
24.012,716.622,0.042
24.062,716.601,0.043
24.112,716.582,0.042
24.162,716.566,0.041
24.212,716.551,0.041
24.262,716.539,0.039
24.312,716.529,0.039
24.362,716.521,0.039
24.412,716.516,0.039
24.462,716.512,0.038
24.512,716.511,0.038
# Event APOGEE occurred at t=24.562 seconds
24.562,716.511,0.038
24.612,716.514,0.038
24.662,716.519,0.038
24.712,716.526,0.038
24.762,716.535,0.038
24.812,716.546,0.037
24.862,716.56,0.037
24.912,716.575,0.037
24.962,716.592,0.038
25.012,716.612,0.038
25.062,716.633,0.037
25.112,716.657,0.039
25.162,716.683,0.04
25.212,716.711,0.04
25.262,716.741,0.041
25.312,716.773,0.041
25.362,716.807,0.043
25.412,716.843,0.045
25.462,716.881,0.045
25.512,716.922,0.046
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.562 seconds
25.562,716.964,0.046
25.569,716.969,0.043
25.576,716.975,0.039
25.585,716.982,0.036
25.596,716.989,0.033
25.609,716.998,0.03
25.626,717.007,0.026
25.648,717.018,0.023
25.679,717.033,0.019
25.726,717.053,0.017
25.794,717.078,0.016
25.873,717.105,0.013
26.029,717.155,0.012
26.239,717.223,0.011
26.439,717.291,0.011
26.634,717.358,0.011
26.827,717.424,0.011
27.02,717.491,0.011
27.213,717.558,0.012
27.407,717.624,0.011
27.601,717.691,0.012
27.795,717.758,0.012
27.988,717.824,0.011
28.182,717.891,0.012
28.375,717.957,0.011
28.57,718.024,0.012
28.763,718.091,0.012
28.956,718.157,0.011
29.151,718.224,0.012
29.344,718.29,0.012
29.543,718.356,0.011
29.743,718.423,0.011
29.939,718.49,0.011
30.133,718.557,0.011
30.326,718.623,0.012
30.519,718.689,0.011
30.719,718.757,0.012
30.913,718.823,0.012
31.107,718.889,0.012
31.306,718.955,0.011
31.506,719.023,0.011
31.698,719.089,0.012
31.891,719.156,0.011
32.085,719.222,0.011
32.278,719.289,0.011
32.471,719.356,0.011
32.664,719.422,0.011
32.857,719.489,0.012
33.05,719.555,0.011
33.243,719.622,0.011
33.436,719.688,0.011
33.629,719.755,0.011
33.822,719.821,0.011
34.015,719.888,0.011
34.208,719.954,0.011
34.401,720.02,0.012
34.593,720.087,0.011
34.787,720.153,0.012
34.979,720.22,0.012
35.173,720.286,0.011
35.368,720.353,0.011
35.561,720.419,0.011
35.753,720.486,0.012
35.946,720.551,0.011
36.145,720.619,0.011
36.337,720.685,0.012
36.53,720.751,0.011
36.724,720.818,0.011
36.916,720.884,0.011
37.109,720.951,0.011
37.302,721.017,0.012
37.495,721.083,0.012
37.688,721.148,0.011
37.889,721.216,0.011
38.082,721.282,0.011
38.274,721.349,0.011
38.467,721.415,0.011
38.66,721.482,0.011
38.852,721.548,0.011
39.045,721.614,0.012
39.238,721.68,0.011
39.432,721.747,0.011
39.625,721.813,0.011
39.817,721.88,0.012
40.01,721.946,0.011
40.203,722.012,0.012
40.396,722.078,0.012
40.591,722.145,0.011
40.786,722.211,0.011
40.979,722.277,0.012
41.172,722.343,0.011
41.366,722.41,0.011
41.56,722.476,0.011
41.752,722.543,0.012
41.945,722.609,0.011
42.138,722.675,0.012
42.331,722.741,0.012
42.525,722.807,0.011
42.721,722.874,0.012
42.915,722.94,0.011
43.11,723.006,0.011
43.303,723.073,0.012
43.496,723.139,0.011
43.692,723.205,0.011
43.885,723.271,0.011
44.078,723.338,0.011
44.271,723.404,0.012
44.463,723.469,0.012
44.664,723.535,0.011
44.864,723.603,0.011
45.056,723.669,0.012
45.248,723.735,0.011
45.441,723.801,0.012
45.634,723.867,0.011
45.828,723.934,0.011
46.02,724,0.012
46.212,724.066,0.011
46.406,724.132,0.011
46.598,724.198,0.012
46.791,724.264,0.011
46.987,724.33,0.011
47.18,724.397,0.011
47.373,724.463,0.011
47.565,724.529,0.011
47.758,724.595,0.011
47.951,724.661,0.011
48.143,724.727,0.011
48.335,724.793,0.011
48.528,724.859,0.011
48.721,724.926,0.012
48.913,724.991,0.011
49.108,725.058,0.012
49.302,725.124,0.011
49.496,725.19,0.012
49.688,725.256,0.012
49.882,725.321,0.011
50.079,725.388,0.011
50.273,725.454,0.011
50.465,725.52,0.012
50.658,725.586,0.011
50.852,725.652,0.011
51.046,725.718,0.012
51.238,725.784,0.011
51.434,725.851,0.011
51.626,725.917,0.011
51.818,725.983,0.012
52.011,726.048,0.011
52.205,726.115,0.012
52.398,726.18,0.012
52.593,726.246,0.011
52.792,726.313,0.011
52.984,726.379,0.011
53.176,726.445,0.011
53.369,726.511,0.012
53.561,726.577,0.011
53.754,726.643,0.011
53.946,726.709,0.011
54.138,726.775,0.012
54.33,726.84,0.012
54.524,726.905,0.011
54.727,726.972,0.011
54.92,727.039,0.011
55.112,727.104,0.011
55.305,727.17,0.012
55.497,727.236,0.011
55.691,727.302,0.011
55.884,727.368,0.011
56.076,727.434,0.011
56.268,727.5,0.012
56.459,727.566,0.011
56.653,727.632,0.011
56.845,727.698,0.011
57.037,727.764,0.012
57.23,727.829,0.011
57.424,727.895,0.012
57.616,727.961,0.011
57.813,728.027,0.012
58.005,728.093,0.012
58.199,728.159,0.011
58.393,728.225,0.011
58.585,728.291,0.011
58.777,728.356,0.012
58.969,728.422,0.011
59.164,728.488,0.011
59.356,728.554,0.012
59.548,728.62,0.011
59.741,728.686,0.011
59.934,728.752,0.011
60.126,728.817,0.011
60.318,728.883,0.011
60.51,728.949,0.011
60.703,729.015,0.011
60.895,729.081,0.011
61.086,729.146,0.011
61.278,729.212,0.012
61.471,729.277,0.011
61.666,729.344,0.011
61.858,729.41,0.011
62.05,729.475,0.011
62.242,729.541,0.011
62.434,729.607,0.011
62.626,729.672,0.011
62.818,729.738,0.011
63.01,729.804,0.011
63.202,729.87,0.012
63.394,729.935,0.012
63.587,730.001,0.011
63.781,730.067,0.012
63.973,730.132,0.011
64.166,730.198,0.011
64.358,730.264,0.011
64.55,730.33,0.011
64.741,730.396,0.012
64.933,730.461,0.012
65.127,730.526,0.011
65.322,730.593,0.011
65.514,730.658,0.011
65.705,730.724,0.011
65.898,730.789,0.011
66.09,730.855,0.011
66.284,730.921,0.012
66.475,730.986,0.011
66.67,731.052,0.011
66.862,731.118,0.012
67.054,731.183,0.011
67.247,731.249,0.012
67.439,731.315,0.011
67.632,731.381,0.011
67.824,731.446,0.011
68.016,731.512,0.011
68.207,731.577,0.011
68.399,731.643,0.011
68.592,731.708,0.011
68.785,731.774,0.012
68.977,731.839,0.011
69.171,731.906,0.011
69.362,731.971,0.011
69.554,732.037,0.012
69.745,732.102,0.011
69.939,732.168,0.012
70.131,732.233,0.011
70.325,732.299,0.011
70.517,732.365,0.011
70.709,732.43,0.011
70.901,732.496,0.011
71.093,732.561,0.012
71.284,732.626,0.011
71.478,732.692,0.012
71.669,732.757,0.011
71.863,732.823,0.011
72.055,732.889,0.011
72.248,732.954,0.011
72.439,733.02,0.011
72.631,733.085,0.011
72.823,733.151,0.011
73.015,733.216,0.012
73.207,733.281,0.012
73.402,733.347,0.011
73.597,733.413,0.011
73.79,733.478,0.011
73.981,733.544,0.011
74.172,733.609,0.012
74.364,733.675,0.012
74.557,733.739,0.011
74.754,733.806,0.011
74.946,733.871,0.011
75.137,733.937,0.011
75.329,734.002,0.011
75.52,734.067,0.011
75.712,734.133,0.012
75.904,734.198,0.011
76.098,734.264,0.011
76.289,734.329,0.011
76.481,734.395,0.011
76.672,734.46,0.011
76.864,734.525,0.011
77.056,734.591,0.011
77.247,734.656,0.012
77.44,734.721,0.012
77.634,734.786,0.012
77.833,734.851,0.011
78.032,734.918,0.011
78.224,734.983,0.012
78.416,735.048,0.011
78.612,735.114,0.011
78.803,735.179,0.011
78.995,735.244,0.012
79.187,735.31,0.011
79.381,735.375,0.011
79.572,735.441,0.011
79.763,735.506,0.011
79.955,735.571,0.011
80.146,735.637,0.012
80.337,735.701,0.011
80.531,735.767,0.011
80.722,735.833,0.011
80.913,735.898,0.011
81.105,735.963,0.011
81.297,736.028,0.011
81.489,736.094,0.011
81.68,736.159,0.011
81.872,736.224,0.011
82.064,736.29,0.011
82.255,736.355,0.011
82.446,736.42,0.011
82.638,736.485,0.012
82.831,736.55,0.011
83.027,736.616,0.011
83.217,736.681,0.011
83.41,736.746,0.011
83.601,736.812,0.012
83.792,736.877,0.011
83.985,736.942,0.011
84.178,737.007,0.011
84.37,737.073,0.011
84.561,737.138,0.011
84.752,737.203,0.011
84.943,737.268,0.011
85.134,737.333,0.011
85.325,737.399,0.011
85.516,737.464,0.011
85.707,737.529,0.011
85.899,737.594,0.011
86.091,737.659,0.011
86.282,737.724,0.011
86.475,737.79,0.011
86.666,737.855,0.011
86.857,737.92,0.011
87.048,737.985,0.011
87.239,738.05,0.011
87.43,738.116,0.011
87.621,738.181,0.011
87.812,738.246,0.011
88.003,738.311,0.012
88.194,738.375,0.011
88.389,738.441,0.011
88.581,738.506,0.011
88.774,738.571,0.011
88.966,738.636,0.011
89.158,738.702,0.011
89.35,738.767,0.011
89.54,738.832,0.011
89.731,738.897,0.011
89.923,738.962,0.011
90.115,739.027,0.011
90.306,739.092,0.011
90.497,739.157,0.011
90.688,739.222,0.011
90.88,739.287,0.011
91.072,739.353,0.011
91.263,739.418,0.011
91.454,739.483,0.011
91.645,739.548,0.011
91.835,739.613,0.011
92.027,739.678,0.011
92.218,739.743,0.011
92.409,739.808,0.011
92.6,739.873,0.011
92.79,739.938,0.011
92.981,740.003,0.011
93.172,740.068,0.011
93.362,740.133,0.011
93.553,740.198,0.011
93.744,740.263,0.011
93.935,740.328,0.011
94.126,740.393,0.012
94.317,740.457,0.011
94.51,740.523,0.011
94.701,740.588,0.012
94.893,740.652,0.011
95.089,740.718,0.012
95.28,740.782,0.012
95.473,740.847,0.011
95.669,740.912,0.011
95.863,740.977,0.011
96.055,741.042,0.011
96.247,741.107,0.011
96.439,741.172,0.011
96.629,741.237,0.012
96.82,741.302,0.011
97.012,741.367,0.011
97.203,741.432,0.011
97.393,741.497,0.011
97.584,741.562,0.011
97.774,741.627,0.011
97.965,741.692,0.011
98.156,741.756,0.011
98.348,741.821,0.011
98.539,741.886,0.011
98.73,741.951,0.011
98.921,742.016,0.011
99.112,742.081,0.011
99.303,742.145,0.011
99.495,742.211,0.011
99.685,742.275,0.011
99.876,742.34,0.011
100.068,742.405,0.011
100.26,742.47,0.011
100.45,742.535,0.011
100.641,742.6,0.011
100.832,742.665,0.012
101.022,742.729,0.011
101.216,742.794,0.011
101.407,742.859,0.011
101.598,742.924,0.011
101.79,742.988,0.011
101.981,743.053,0.011
102.172,743.118,0.011
102.363,743.183,0.012
102.554,743.247,0.011
102.748,743.313,0.011
102.938,743.377,0.011
103.13,743.442,0.011
103.32,743.507,0.011
103.511,743.572,0.011
103.702,743.636,0.011
103.892,743.701,0.011
104.083,743.766,0.011
104.273,743.831,0.011
104.463,743.895,0.011
104.654,743.96,0.011
104.844,744.025,0.011
105.035,744.089,0.011
105.226,744.154,0.011
105.416,744.219,0.011
105.608,744.284,0.011
105.798,744.348,0.011
105.988,744.413,0.012
106.178,744.477,0.011
106.376,744.542,0.011
106.568,744.607,0.012
106.758,744.671,0.012
106.954,744.736,0.011
107.149,744.801,0.011
107.34,744.866,0.011
107.531,744.93,0.011
107.724,744.995,0.011
107.914,745.06,0.011
108.104,745.125,0.011
108.295,745.189,0.011
108.485,745.254,0.011
108.677,745.319,0.011
108.867,745.383,0.011
109.057,745.448,0.011
109.247,745.512,0.012
109.439,745.577,0.011
109.632,745.642,0.011
109.823,745.706,0.011
110.013,745.771,0.011
110.204,745.835,0.011
110.395,745.9,0.011
110.586,745.965,0.011
110.777,746.029,0.011
110.966,746.094,0.012
111.157,746.158,0.011
111.351,746.223,0.011
111.541,746.288,0.011
111.731,746.352,0.011
111.921,746.417,0.011
112.111,746.481,0.011
112.301,746.546,0.011
112.491,746.61,0.011
112.682,746.675,0.011
112.872,746.74,0.011
113.062,746.804,0.011
113.252,746.871,0.011
113.442,746.939,0.011
113.632,747.007,0.011
113.822,747.075,0.011
114.012,747.142,0.011
114.202,747.21,0.011
114.392,747.278,0.011
114.582,747.346,0.011
114.772,747.414,0.011
114.962,747.482,0.011
115.152,747.549,0.011
115.343,747.617,0.011
115.533,747.685,0.012
115.723,747.753,0.011
115.916,747.821,0.011
116.105,747.889,0.011
116.295,747.957,0.011
116.485,748.024,0.011
116.675,748.092,0.011
116.866,748.16,0.011
117.056,748.228,0.011
117.246,748.296,0.011
117.436,748.363,0.011
117.627,748.431,0.011
117.817,748.499,0.011
118.007,748.567,0.011
118.197,748.634,0.011
118.389,748.702,0.011
118.579,748.77,0.011
118.768,748.838,0.011
118.958,748.906,0.011
119.148,748.973,0.011
119.338,749.041,0.011
119.528,749.109,0.011
119.718,749.176,0.011
119.909,749.244,0.011
120.099,749.312,0.011
120.289,749.38,0.011
120.478,749.447,0.011
120.668,749.515,0.011
120.858,749.583,0.011
121.048,749.65,0.011
121.238,749.718,0.012
121.427,749.785,0.011
121.621,749.853,0.011
121.811,749.921,0.011
122,749.989,0.011
122.19,750.057,0.011
122.38,750.124,0.011
122.569,750.192,0.011
122.76,750.26,0.011
122.95,750.327,0.011
123.139,750.395,0.011
123.329,750.462,0.011
123.52,750.53,0.012
123.709,750.597,0.011
123.902,750.665,0.011
124.091,750.733,0.011
124.281,750.801,0.011
124.471,750.868,0.011
124.66,750.936,0.011
124.851,751.003,0.012
125.041,751.07,0.011
125.233,751.138,0.011
125.423,751.206,0.011
125.613,751.274,0.011
125.803,751.341,0.011
125.992,751.409,0.012
126.182,751.476,0.011
126.374,751.544,0.011
126.565,751.611,0.011
126.756,751.679,0.011
126.946,751.746,0.011
127.137,751.814,0.011
127.329,751.882,0.011
127.519,751.949,0.011
128.019,752.127,0.011
128.208,752.195,0.011
128.398,752.262,0.011
128.588,752.329,0.011
128.78,752.397,0.011
128.97,752.465,0.011
129.16,752.532,0.011
129.349,752.6,0.011
129.539,752.667,0.011
129.731,752.735,0.011
129.92,752.802,0.011
130.111,752.869,0.012
130.301,752.936,0.011
130.494,753.005,0.011
130.683,753.072,0.012
130.873,753.138,0.011
131.067,753.207,0.011
131.257,753.274,0.011
131.447,753.342,0.011
131.636,753.409,0.011
131.828,753.477,0.011
132.017,753.544,0.012
132.206,753.611,0.011
132.401,753.679,0.011
132.591,753.746,0.011
132.781,753.814,0.011
132.97,753.881,0.011
133.16,753.948,0.011
133.35,754.016,0.011
133.54,754.083,0.011
133.729,754.15,0.011
133.919,754.218,0.011
134.108,754.285,0.011
134.299,754.352,0.011
134.491,754.42,0.011
134.68,754.487,0.011
134.87,754.555,0.011
135.059,754.622,0.011
135.249,754.689,0.011
135.438,754.757,0.011
135.628,754.824,0.011
135.817,754.891,0.011
136.006,754.958,0.011
136.196,755.026,0.011
136.386,755.093,0.011
136.578,755.16,0.011
136.767,755.228,0.011
136.957,755.294,0.011
137.149,755.362,0.011
137.338,755.429,0.011
137.529,755.497,0.011
137.72,755.564,0.011
137.909,755.631,0.011
138.098,755.698,0.011
138.289,755.766,0.011
138.479,755.833,0.011
138.668,755.9,0.012
138.857,755.966,0.011
139.053,756.035,0.011
139.242,756.102,0.011
139.431,756.169,0.012
139.62,756.236,0.011
139.813,756.304,0.012
140.003,756.37,0.011
140.197,756.438,0.011
140.386,756.505,0.011
140.575,756.572,0.011
140.764,756.639,0.011
